Location,Sovereign state with capital,Flag
https://upload.wikimedia.org/wikipedia/commons/7/70/Guatemala_%28orthographic_projection%29.svg,Guatemala (capital : Guatemala City),https://upload.wikimedia.org/wikipedia/commons/e/ec/Flag_of_Guatemala.svg
https://upload.wikimedia.org/wikipedia/commons/0/04/Location_Guinea_AU_Africa.svg,Guinea (capital : Conakry),https://upload.wikimedia.org/wikipedia/commons/e/ed/Flag_of_Guinea.svg
https://upload.wikimedia.org/wikipedia/commons/f/fe/Location_Guinea_Bissau_AU_Africa.svg,Guinea-Bissau (capital : Bissau),https://upload.wikimedia.org/wikipedia/commons/0/01/Flag_of_Guinea-Bissau.svg
https://upload.wikimedia.org/wikipedia/commons/2/21/GUY_orthographic.svg,Guyana (capital : Georgetown),https://upload.wikimedia.org/wikipedia/commons/9/99/Flag_of_Guyana.svg
https://upload.wikimedia.org/wikipedia/commons/f/fe/Haiti_%28orthographic_projection%29.svg,Haiti (capital : Port-au-Prince),https://upload.wikimedia.org/wikipedia/commons/5/56/Flag_of_Haiti.svg
https://upload.wikimedia.org/wikipedia/commons/0/0c/HND_orthographic.svg,Honduras (capital : Tegucigalpa),https://upload.wikimedia.org/wikipedia/commons/8/82/Flag_of_Honduras.svg
https://upload.wikimedia.org/wikipedia/commons/6/60/EU-Hungary.svg,Hungary (capital : Budapest),https://upload.wikimedia.org/wikipedia/commons/c/c1/Flag_of_Hungary.svg
https://upload.wikimedia.org/wikipedia/commons/7/7a/Iceland_%28orthographic_projection%29.svg,Iceland (capital : Reykjavík),https://upload.wikimedia.org/wikipedia/commons/c/ce/Flag_of_Iceland.svg
https://upload.wikimedia.org/wikipedia/commons/b/bb/India_%28orthographic_projection%29.svg,India (capital : New Delhi),https://upload.wikimedia.org/wikipedia/en/4/41/Flag_of_India.svg
https://upload.wikimedia.org/wikipedia/commons/0/05/Indonesia_%28orthographic_projection%29.svg,Indonesia (capital : Jakarta),https://upload.wikimedia.org/wikipedia/commons/9/9f/Flag_of_Indonesia.svg
https://upload.wikimedia.org/wikipedia/commons/a/a8/Iran_%28orthographic_projection%29.svg,Iran (capital : Tehran),https://upload.wikimedia.org/wikipedia/commons/c/ca/Flag_of_Iran.svg
https://upload.wikimedia.org/wikipedia/commons/5/59/Iraq_%28orthographic_projection%29.svg,Iraq (capital : Baghdad),https://upload.wikimedia.org/wikipedia/commons/f/f6/Flag_of_Iraq.svg
https://upload.wikimedia.org/wikipedia/commons/2/2a/EU-Ireland.svg,Ireland (capital : Dublin),https://upload.wikimedia.org/wikipedia/commons/4/45/Flag_of_Ireland.svg
https://upload.wikimedia.org/wikipedia/commons/4/47/ISR_orthographic.svg,Israel (capital : Jerusalem),https://upload.wikimedia.org/wikipedia/commons/d/d4/Flag_of_Israel.svg
https://upload.wikimedia.org/wikipedia/commons/c/cd/EU-Italy_%28orthographic_projection%29.svg,Italy (capital : Rome),https://upload.wikimedia.org/wikipedia/en/0/03/Flag_of_Italy.svg
https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_C%C3%B4te_d%27Ivoire.svg,Ivory Coast (capital : Yamoussoukro (political) Abidjan (economic)),https://upload.wikimedia.org/wikipedia/commons/9/9b/C%C3%B4te_d%27Ivoire_%28orthographic_projection%29.svg
https://upload.wikimedia.org/wikipedia/commons/e/eb/Jamaica_%28orthographic_projection%29.svg,Jamaica (capital : Kingston),https://upload.wikimedia.org/wikipedia/commons/0/0a/Flag_of_Jamaica.svg
https://upload.wikimedia.org/wikipedia/commons/6/62/Japan_%28orthographic_projection%29.svg,Japan (capital : Tokyo),https://upload.wikimedia.org/wikipedia/en/9/9e/Flag_of_Japan.svg
https://upload.wikimedia.org/wikipedia/commons/b/b2/Jordan_%28orthographic_projection%29.svg,Jordan (capital : Amman),https://upload.wikimedia.org/wikipedia/commons/c/c0/Flag_of_Jordan.svg
https://upload.wikimedia.org/wikipedia/commons/3/3e/Kazakhstan_%28orthographic_projection%29.svg,Kazakhstan (capital : Astana),https://upload.wikimedia.org/wikipedia/commons/d/d3/Flag_of_Kazakhstan.svg
https://upload.wikimedia.org/wikipedia/commons/1/16/Location_Kenya_AU_Africa.svg,Kenya (capital : Nairobi),https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Kenya.svg
https://upload.wikimedia.org/wikipedia/commons/d/d9/Kiribati_on_the_globe_%28Polynesia_centered%29.svg,Kiribati (capital : Tarawa),https://upload.wikimedia.org/wikipedia/commons/d/d3/Flag_of_Kiribati.svg
https://upload.wikimedia.org/wikipedia/commons/b/b2/Democratic_People%27s_Republic_of_Korea_%28orthographic_projection%29.svg,North Korea (capital : Pyongyang),https://upload.wikimedia.org/wikipedia/commons/5/51/Flag_of_North_Korea.svg
https://upload.wikimedia.org/wikipedia/commons/c/c7/KOR_orthographic.svg,South Korea (capital : Seoul),https://upload.wikimedia.org/wikipedia/commons/0/09/Flag_of_South_Korea.svg
https://upload.wikimedia.org/wikipedia/commons/4/41/KWT_orthographic.svg,Kuwait (capital : Kuwait City),https://upload.wikimedia.org/wikipedia/commons/a/aa/Flag_of_Kuwait.svg
https://upload.wikimedia.org/wikipedia/commons/7/7c/Kyrgyzstan_%28orthographic_projection%29.svg,Kyrgyzstan (capital : Bishkek),https://upload.wikimedia.org/wikipedia/commons/c/c4/Flag_of_Kyrgyzstan_%28official_standards%29.png
https://upload.wikimedia.org/wikipedia/commons/a/ac/Location_Laos_ASEAN.svg,Laos (capital : Vientiane),https://upload.wikimedia.org/wikipedia/commons/5/56/Flag_of_Laos.svg
https://upload.wikimedia.org/wikipedia/commons/3/32/EU-Latvia.svg,Latvia (capital : Riga),https://upload.wikimedia.org/wikipedia/commons/8/84/Flag_of_Latvia.svg
https://upload.wikimedia.org/wikipedia/commons/9/96/Lebanon_%28orthographic_projection%29.svg,Lebanon (capital : Beirut),https://upload.wikimedia.org/wikipedia/commons/5/59/Flag_of_Lebanon.svg
https://upload.wikimedia.org/wikipedia/commons/d/d2/Location_Lesotho_AU_Africa.svg,Lesotho (capital : Maseru),https://upload.wikimedia.org/wikipedia/commons/4/4a/Flag_of_Lesotho.svg
https://upload.wikimedia.org/wikipedia/commons/6/6f/Location_Liberia_AU_Africa.svg,Liberia (capital : Monrovia),https://upload.wikimedia.org/wikipedia/commons/b/b8/Flag_of_Liberia.svg
https://upload.wikimedia.org/wikipedia/commons/a/a9/Libya_%28Libya_centered%3B_orthographic_projection%29.svg,Libya (capital : Tripoli),https://upload.wikimedia.org/wikipedia/commons/0/05/Flag_of_Libya.svg
https://upload.wikimedia.org/wikipedia/commons/2/23/Europe-Liechtenstein.svg,Liechtenstein (capital : Vaduz),https://upload.wikimedia.org/wikipedia/commons/4/47/Flag_of_Liechtenstein.svg
https://upload.wikimedia.org/wikipedia/commons/e/ec/EU-Lithuania.svg,Lithuania (capital : Vilnius),https://upload.wikimedia.org/wikipedia/commons/1/11/Flag_of_Lithuania.svg
https://upload.wikimedia.org/wikipedia/commons/c/c3/EU-Luxembourg.svg,Luxembourg (capital : Luxembourg City),https://upload.wikimedia.org/wikipedia/commons/d/da/Flag_of_Luxembourg.svg
https://upload.wikimedia.org/wikipedia/commons/3/34/Republic_of_Macedonia_%28orthographic_projection%29.svg,Macedonia (capital : Skopje),https://upload.wikimedia.org/wikipedia/commons/f/f8/Flag_of_Macedonia.svg
https://upload.wikimedia.org/wikipedia/commons/4/41/Location_Madagascar_AU_Africa.svg,Madagascar (capital : Antananarivo),https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Madagascar.svg
