Cocktail,Image,Recipe
IRISH COFFEE,https://upload.wikimedia.org/wikipedia/commons/6/61/Irish_coffee_glass.jpg,"Hot Drink

    4 cl Irish whiskey
    9 cl Hot coffee
    3 cl Fresh cream
    1 teaspoon of brown sugar

Warm the Irish whiskey over a burner. Pour into the glass (for hot drink) hot coffee, and add a teaspoon of sugar. Float Cream on top."
KIR,https://upload.wikimedia.org/wikipedia/commons/c/c3/Kir_cocktail.jpg,"Before Dinner Cocktail

    9 cl Dry White Wine
    1 cl Crème de Cassis

Pour Crème de Cassis into glass, top up with white wine.
For Kir Royal: Use champagne instead of white wine."
LONG ISLAND ICED TEA,https://upload.wikimedia.org/wikipedia/commons/4/45/Long_Island_Iced_Teas.jpg,"Longdrink

    1.5 cl Gin
    1.5 cl Tequila
    1.5 cl Vodka
    1.5 cl White Rum
    1.5 cl Triple sec
    3.0 cl Gomme syrup
    2.5 cl Lemon juice, fresh
    1 dash of Cola

Add all ingredients into highball glass filled with ice.
Stir gently. Garnish with lemon spiral. Serve with straw."
MAI-TAI,https://upload.wikimedia.org/wikipedia/commons/d/d0/Trader_Vic%27s_1944_Mai_Tai.jpg,"Longdrink

    4 cl White Rum
    2 cl Dark Rum
    1.5 cl Orange Curaćao
    1.5 cl Orgeat syrup
    1 cl Fresh lime juice

Shake and strain into highball glass.
Garnish with pineapple spear, mint leaves and lime peel.
Serve with straw."
MARGARITA,https://upload.wikimedia.org/wikipedia/commons/3/37/MargaritaReal.jpg,"All Day Cocktail

    3.5 cl Tequila
    2 cl Cointreau
    1.5 cl Freshly squeezed lime juice

Pour all ingredients into shaker with ice.
Shake well and strain into cocktail glass rimmed with salt
(note:Fruit Margarita – blend selected fruit with the above recipe)."
MIMOSA,https://upload.wikimedia.org/wikipedia/commons/3/3a/Pool-side_Mimosas_at_The_Standard_Hotel.jpg,"Sparkling Cocktail

    7.5 cl Champagne
    7.5 cl Orange juice, fresh

Pour orange juice into flute and gently pour Champagne. Stir gently.
Garnish with orange twist (optional).
Note: a Buck’s Fizz and a Mimosa are the same drink."
MINT JULEP,https://upload.wikimedia.org/wikipedia/commons/5/55/Mint_Julep_im_Silberbecher.jpg,"Longdrink

    6 cl Bourbon whiskey
    4 fresh mint sprigs
    1 teaspoon powdered sugar
    2 teaspoons water

In a highball glass gently muddle the mint, sugar and water.
Fill the glass with cracked ice, add Bourbon and stir well until the glass is frost.
Garnish with a mint spring."
MOJITO,https://upload.wikimedia.org/wikipedia/commons/0/01/Mojito98775.jpeg,"Longdrink

    4 cl White Cuban Rum
    3 cl Fresh lime juice
    6 Mint sprigs
    2 teaspoons white sugar
    Soda water

Muddle mint springs with sugar and lime juice.
Add splash of soda water and fill glass with cracked ice. Pour rum and top with soda water.
Garnish with spring of mint leaves and lemon slice. Serve with straw."
MOSCOW MULE,https://upload.wikimedia.org/wikipedia/commons/a/a4/Moscow_Mule_at_Rye%2C_San_Francisco.jpg,"Longdrink

    4.5 cl Vodka
    12 cl Ginger beer
    0.5 cl Lime juice, fresh
    1 slice lime in a highball glass

Combine the vodka and ginger beer.
Add lime juice.
Garnish with a lime slice."
PINA COLADA,https://upload.wikimedia.org/wikipedia/commons/b/b2/Pi%C3%B1a_Colada.jpg,"Longdrink

    3 cl White Rum
    9 cl Pineapple juice
    3 cl Coconut cream

Blend all the ingredients with ice in a electric blender, pour into a large goblet or Hurricane glass and serve with straws.
Garnish with a slice of pineapple with a cocktail cherry."
ROSE,https://upload.wikimedia.org/wikipedia/commons/b/b8/Rose_%28cocktail%29.jpg,"
    2 cl Kirsch
    4 cl Dry Vermouth
    3 dashes Strawberry syrup

Stir all ingredients with ice and strain into a cocktail glass."
SEA BREEZE,https://upload.wikimedia.org/wikipedia/commons/b/b1/Cocktail_with_vodka.jpg,"Longdrink

    4 cl Vodka
    12 cl Cranberry juice
    3 cl Grapefruit juice

Build all ingredients in a rock glass filled with ice. Garnish with lime wedge."
SEX ON THE BEACH,https://upload.wikimedia.org/wikipedia/commons/a/a2/Sex_On_The_Beach.jpg,"Longdrink

    4 cl Vodka
    2 cl Peach schnapps
    4 cl Cranberry juice
    4 cl Orange juice

Build all ingredients in a highball glass filled with ice. Garnish with orange slice."
SINGAPORE SLING,https://upload.wikimedia.org/wikipedia/commons/7/7e/Singaporesling-march2017.jpg,"Longdrink

    3 cl Gin
    1.5 cl Cherry liqueur
    0.75 cl Cointreau
    0.75 cl DOM Bénédictine
    1 cl Grenadine
    12 cl Pineapple juice
    1.5 cl Lime juice
    1 dash Angostura bitters

Pour all ingredients into cocktail shaker filled with ice cubes. Shake well.
Strain into highball glass.
Garnish with pineapple and cocktail cher"
TEQUILA SUNRISE,https://upload.wikimedia.org/wikipedia/commons/3/3c/Tequila_Sunrise_glass.jpg,"Longdrink

    4.5 cl Tequila
    9 cl Orange juice
    1.5 cl Grenadine

Pour tequila and orange juice directly into highball with ice cubes.
Add a splash of grenadine to create chromatic effect (sunrise), do not stir.
Garnish with orange slice and cherry."
B52,https://upload.wikimedia.org/wikipedia/commons/3/3a/Cocktail_B52.jpg,"After Dinner

    2 cl Grand Marnier
    2 cl Baileys Irish Cream
    2 cl Kahlúa

Layer ingredients one at a time starting with Kahlúa, followed by Baileys Irish Cream and top with Grand Marnier.
Flame the Grand Marnier, serve while the flame is still on, accompanied with a straw on side plate."
BARRACUDA,https://upload.wikimedia.org/wikipedia/commons/a/a7/Barracuda_Sparkling_Cocktail.png,"Sparkling Cocktail

    4.5 cl Gold rum
    1.5 cl Galliano
    6 cl Pineapple juice
    1 dash Fresh lime juice
    Top with Prosecco
"
BRAMBLE,https://upload.wikimedia.org/wikipedia/commons/2/22/Bramble_Cocktail1.jpg,"All Day Cocktail

    4 cl Gin
    1 cl Sugar syrup
    1.5 cl Fresh Lemon Juice
    1.5 cl Blackberry liqueur

Build over crushed ice, in a rock glass.
Stir, then pour the blackberry liqueur over the top of the drink in a circular fashion.
Garnish with a lemon slice, and two blackberries."
DARK ‘N’ STORMY,https://upload.wikimedia.org/wikipedia/commons/f/f7/DarknStormy.jpg,"Longdrink

    6 cl Dark Rum
    10 cl Ginger Beer

In a highball glass filled with ice add 6cl Dark Rum and top with ginger beer. Garnish with lime wedge."
DIRTY MARTINI,https://upload.wikimedia.org/wikipedia/commons/8/80/15-09-26-RalfR-WLC-0084.jpg,"Before Dinner Cocktail

    6 cl Vodka
    1 cl Dry Vermouth
    1 cl Olive juice

Pour all ingredients into mixing glass with ice cubes.
Stir well.
Strain in chilled martini glass.
Garnish with green olive."
ESPRESSO MARTINI,https://upload.wikimedia.org/wikipedia/commons/5/55/Bistrot_Bruno_Loubet%2C_Clerkenwell%2C_London_%284574785649%29.jpg,"After Dinner Cocktail

    5 cl Vodka
    1 cl Kahlúa
    Sugar syrup (according to individual preference of sweetness)
    1 short strong Espresso

Shake and strain into a chilled cocktail glass."
FRENCH MARTINI,https://upload.wikimedia.org/wikipedia/commons/b/be/A_French_martini_%282664064759%29.jpg,"Before Dinner Cocktail

4.5 cl Vodka
1.5 cl Raspberry liqueur
1.5 cl Fresh pineapple juice

Pour all ingredients into a shaker with ice cubes.
Shake and strain into a chilled cocktail glass.
Squeeze oil from lemon peel onto the drink."
KAMIKAZE,https://upload.wikimedia.org/wikipedia/commons/b/bc/Kamikaze-cocktail.jpg,"All Day Cocktail

    3 cl Vodka
    3 cl Triple sec
    3 cl Fresh lime juice

Shake and strain into a chilled cocktail glass."
LEMON DROP MARTINI,https://upload.wikimedia.org/wikipedia/commons/6/60/Lemon_Drop_cocktails.jpg,"All Day Cocktail

    2.5 cl  Vodka Citron
    2 cl Triple Sec
    1.5 cl Fresh lemon juice

Shake and strain into a chilled cocktail glass rimmed with sugar, garnish with a slice of lemon."
PISCO SOUR,https://upload.wikimedia.org/wikipedia/commons/2/27/Pisco_sour_20100613b.JPG,"All Day Cocktail

    4.5 cl Pisco
    2 cl Sugar syrup
    3 cl Fresh lemon juice
    1 raw egg white (small egg)

Shake and strain into a chilled champagne flute.
Dash some Angostura bitters on top."
RUSSIAN SPRING PUNCH,http://iba-world.com/wp-content/uploads/2015/09/russian_spring.jpg,"Sparkling Cocktail

    2.5 cl Vodka
    1.5 cl Créme de Cassis
    1 cl Sugar Syrup
    2.5 cl Lemon Juice, fresh

Shake the ingredients and pour into highball glass. Top with Sparkling wine.
Garnish with a lemon slice and a blackberry."
SPRITZ VENEZIANO,https://upload.wikimedia.org/wikipedia/commons/7/73/20120704_170702_venezia_1584.jpg,"Sparkling Cocktail

    6 cl Prosecco
    4 cl Aperol
    Splash of Soda water

Build into an old-fashioned glass filled with ice.
Top with a splash of soda water.
Garnish with half orange slice."
TOMMY’S MARGARITA,https://upload.wikimedia.org/wikipedia/commons/6/64/TommysMargarita.jpg,"All Day Cocktail

    4.5 cl Tequila
    1.5 cl Freshly squeezed lime juice
    2 bar spoons of Agave nectar

Shake and strain into a chilled cocktail glass."
VAMPIRO,http://iba-world.com/wp-content/uploads/2015/09/vampiro.jpg,"
    5 cl Tequila (silver)
    7 cl Tomato juice
    3 cl Orange Juice, fresh
    1 cl Lime juice, fresh
    1 teaspoon clear honey
    Half slice onion finely chopped
    Few slices fresh red hot chili peppers
    Few drops Worchestershire sauce
    Salt
"
VESPER,https://upload.wikimedia.org/wikipedia/commons/0/01/Vesper_Martini_%28corrected%29.jpg,"Before Dinner Cocktail

    6 cl Gin
    1.5 cl Vodka
    0.75 cl Lillet Blonde
    Lemon twist (garnish)

Shake and strain into a chilled cocktail glass.
Add the garnish."
YELLOW BIRD,http://iba-world.com/wp-content/uploads/2015/09/yellow_bird.jpg,"All Day Cocktail

    3 cl White Rum
    1.5 cl Galliano
    1.5 cl Triple sec
    1.5 cl Lime juice

Shake and strain into a chilled cocktail glass."
